id	artist	level	popularity	followers	genre1	genre2	genre3	genre4	genre5
5L8FCi81vASYMJNWbODEDZ	Barbecue Bob	0	15	826	acoustic blues	blues	country blues	delta blues	memphis blues
4vRyd1UZ8Eq98EppbwOBg6	Blind Willie McTell	1	37	9148	acoustic blues	blues	chicago blues	country blues	delta blues
2RhkTBo6ams9W8hXDZ3eKI	Papa Charlie Jackson	1	9	227	acoustic blues	blues	delta blues	jug band	memphis blues
1yhcG1yQNDC2i8JHlB3HRo	Mississippi Sheiks	1	21	1852	acoustic blues	appalachian folk	blues	country blues	delta blues
2naDLHeKqXSHT3DMII2eqb	Bo Carter	1	26	969	acoustic blues	blues	country blues	delta blues	memphis blues
3dahhupQzKVXptEwFBsodc	Frank Stokes	1	15	652	acoustic blues	blues	country blues	delta blues	memphis blues
5kO4xdEKLuHHHPreu3UmkZ	Blind Willie Johnson	2	42	19049	acoustic blues	blues	chicago blues	country blues	delta blues
6EsuMifB8c5rm5P2DdjiLe	Blind Lemon Jefferson	2	33	6151	acoustic blues	blues	chicago blues	country blues	delta blues
7aExFIr0IHWO5aFjMrGwKw	Charley Patton	2	35	7191	acoustic blues	appalachian folk	blues	chicago blues	country blues
2zlMeTjA7szCmqcJjBzYXJ	Skip James	2	37	14131	acoustic blues	blues	chicago blues	country blues	delta blues
2gSskdDhLQCx3CQd6XKDhp	Bukka White	2	33	5814	acoustic blues	blues	chicago blues	country blues	delta blues
3bOaXwSzOMYXFPU7ijebYK	Bumble Bee Slim	2	17	190	acoustic blues	blues	delta blues	memphis blues	piano blues
13ecnr6q5pYMKQcpi8acxy	Charley Jordan	2	9	153	acoustic blues	delta blues	jug band	memphis blues	piedmont blues
66SiMdpsWXE23qqX0JaWg9	Furry Lewis	2	26	2191	acoustic blues	appalachian folk	blues	chicago blues	country blues
1FdwVX3yL8ITuRnTZxetsA	Mississippi John Hurt	3	45	22486	acoustic blues	blues	chicago blues	country blues	delta blues
15oeqKO5k5uZ5773tWvpda	Son House	3	44	29155	acoustic blues	blues	chicago blues	country blues	delta blues
00UuF3fAevVz8L0f1WfiQ6	Sleepy John Estes	3	21	1661	acoustic blues	blues	chicago blues	country blues	delta blues
07NzVZ0BHZ0QOOw7nGvCgo	Big Joe Williams	3	29	2691	acoustic blues	blues	chicago blues	country blues	delta blues
0XFbUk3QnKwp0vl9sIQtIg	Tampa Red	3	26	1273	acoustic blues	blues	boogiewoogie	chicago blues	country blues
1kSOv0QaraiHwnDs5ld2kr	Kokomo Arnold	3	22	515	acoustic blues	blues	chicago blues	country blues	delta blues
65DrfMsqDV0FYVyuu372EA	Casey Bill Weldon	3	14	242	acoustic blues	blues	delta blues	memphis blues	piedmont blues
5E9cD4KO1vPaT66cgXktHf	Ed Bell	3	4	84	acoustic blues	deep delta blues	delta blues	piedmont blues
6EZzVXM2uDRPmnHWq9yPDE	Lightnin' Hopkins	4	50	36365	acoustic blues	blues	bluesrock	chicago blues	country blues
7mPFWoDGjh7ArW1yr79EX8	Blind Boy Fuller	4	23	2196	acoustic blues	blues	chicago blues	country blues	delta blues
4FViGgjWpnJJ21reE6pHko	Johnny Shines	4	21	835	acoustic blues	blues	chicago blues	country blues	delta blues
7dSnChJjb0jdfulJsIijoC	Arthur Big Boy Crudup	4	31	1653	acoustic blues	blues	chicago blues	country blues	delta blues
2FtoVJBkfbE89zyZJ0E9eR	Leroy Carr	4	19	722	acoustic blues	blues	boogiewoogie	chicago blues	country blues
74g0xdNndEjFzMKSRFUMNM	Lonnie Johnson	4	30	3208	acoustic blues	blues	boogiewoogie	chicago blues	country blues
2m2vWbN6WZU0Mtv569ndeb	Sylvester Weaver	4	17	193	acoustic blues	blues	delta blues	memphis blues	piedmont blues
6jAZ0Vg8P52hUomLqMPXcS	Ishman Bracey	4	15	139	acoustic blues	blues	delta blues	memphis blues	piedmont blues
6nPKmEbQmR8jGZEm7ArOFX	TBone Walker	5	48	20911	acoustic blues	blues	bluesrock	chicago blues	country blues
49KZvkEWchga5D1uhNo1yd	Blind Blake	5	24	2032	acoustic blues	blues	chicago blues	country blues	delta blues
5hId7yMy0kbGP6IiKWVDql	Robert Lockwood, Jr.	5	24	650	acoustic blues	blues	chicago blues	country blues	delta blues
1ycL0Ct3hz0glGDIwsUyNG	Robert Nighthawk	5	15	751	acoustic blues	blues	chicago blues	country blues	delta blues
3enRG6NEAfCkJI2muGcnT1	J.B. Lenoir	5	37	3445	acoustic blues	blues	chicago blues	country blues	delta blues
5DjfEhP0XiH279qFeyR7qF	Peetie Wheatstraw	5	15	342	acoustic blues	blues	chicago blues	delta blues	louisiana blues
7DtrCdyysCDj5BlVKcassv	Rev. Gary Davis	5	37	3661	acoustic blues	blues	chicago blues	country blues	delta blues
5oiElzH2fBhl2USxQkOqQX	Weaver & Beasley	5	3	29
6qkPaSxnQrcu1EDqdfkrmN	Sylvester Weaver with Helen Humes	5	0	1
0m8dKC3T9anldCh2OgZ6pJ	Tommy McClennan	5	20	369	acoustic blues	blues	chicago blues	country blues	delta blues
6U174IQnD4TiKibxvVLYk6	Robert Wilkins	5	12	411	acoustic blues	blues	country blues	delta blues	memphis blues
